% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"May 17 2025, 15:20"
% Table,Table 3 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0,0
1.0E-4,-3.606679E-317
2.0E-4,-1.2790865505E-314
3.0000000000000003E-4,1.655904786253E-311
4.0E-4,1.735398647602473E-306
5.0E-4,1.9794356372428337E-301
6.000000000000001E-4,-5.89673780311248E-295
7.0E-4,2.1488459935980939E-221
8.0E-4,8.123615542770584E-215
9.000000000000001E-4,2.9633525831834147E-208
0.001,1.0275874722456529E-201
0.0011,3.293630358099277E-195
0.0012000000000000001,9.146450220545392E-189
0.0013000000000000002,3.387921162915894E-182
0.0014,1.2819254637707526E-175
0.0015,3.9863336454647636E-169
0.0016,8.762330739126905E-163
0.0017000000000000001,1.2332378446207146E-156
0.0018000000000000002,1.0675110424893048E-150
0.0019,5.646710848277187E-145
0.002,1.83959902994938E-139
0.0021000000000000003,3.7347839314082425E-134
0.0022,6.057736898214167E-129
0.0023,6.940290847102399E-124
0.0024000000000000002,5.403916735880944E-119
0.0025,2.9099725318400447E-114
0.0026000000000000003,1.1012650059063338E-109
0.0027,2.972635445225014E-105
0.0028,5.802554039443252E-101
0.0029000000000000002,8.298741248511814E-97
0.003,8.808943157160837E-93
0.0031000000000000003,7.732038084931575E-89
0.0032,5.306569353175778E-85
0.0033,2.7867374081110003E-81
0.0034000000000000002,1.129442526833726E-77
0.0035,3.561536554124828E-74
0.0036000000000000003,8.806046503654078E-71
0.0037,1.7201121256710997E-67
0.0038,2.6740759047088137E-64
0.0039000000000000003,3.332981744095774E-61
0.004,3.497239176600196E-58
0.0041,3.0102397742820533E-55
0.004200000000000001,2.0996903814061994E-52
0.0043,1.192362308194364E-49
0.0044,5.537163677325741E-47
0.0045000000000000005,2.1117117795062765E-44
0.0046,6.640640563343151E-42
0.0047,1.7285774159928698E-39
0.0048000000000000004,3.7381242805567193E-37
0.0049,6.855189315382969E-35
0.005,1.0538545610352895E-32
0.0051,1.3493485584483317E-30
0.005200000000000001,1.4421982389064498E-28
0.0053,1.2894104170448134E-26
0.0054,9.661495626947295E-25
0.0055000000000000005,6.076951283735462E-23
0.0056,3.2125537278817605E-21
0.0057,1.4283992910003264E-19
0.0058000000000000005,5.372114838791423E-18
0.0059,1.6984995079868742E-16
0.006,4.491252818725396E-15
0.0061,9.916309016048073E-14
0.006200000000000001,1.820955500969164E-12
0.0063,2.77302525632603E-11
0.0064,3.4916816431332546E-10
0.006500000000000001,3.651855856533035E-9
0.0066,3.5222718882430626E-8
0.0067,3.329801542724936E-7
0.0068000000000000005,2.7779931488341873E-6
0.006900000000000001,1.964551316469151E-5
0.007,1.1721775477824465E-4
0.0071,5.893461181229894E-4
0.007200000000000001,0.0024934598547342035
0.0073,0.008864626239190503
0.0074,0.026476999145779334
0.007500000000000001,0.06653862957415879
0.0076,0.1412546900343823
0.0077,0.25580484967461214
0.0078000000000000005,0.4026353976740958
0.0079,0.5657757382209246
0.008,0.7333135621417066
0.0081,0.9015628506023686
0.0082,1.0684337952232783
0.0083,1.234041951646269
0.008400000000000001,1.3990612742677973
0.0085,1.564217490409213
0.0086,1.7299087532367363
0.008700000000000001,1.8960321484764342
0.0088,2.0636608284790485
0.0089,2.2323555386526674
0.009000000000000001,2.402434593090691
0.0091,2.573180406211835
0.0092,2.74606598057165
0.009300000000000001,2.9194224482022424
0.0094,3.0934053243875423
0.0095,3.267305771713287
0.009600000000000001,3.441481393403124
0.0097,3.615781953145287
0.0098,3.7908160344943065
0.0099,3.9645405022270945
0.01,4.13739479559048
0.010100000000000001,4.30838912541314
0.0102,4.477273796601943
0.0103,4.64449949518188
0.010400000000000001,4.809793872096295
0.0105,4.972170956748688
0.0106,5.132854243895989
0.010700000000000001,5.291418731097415
0.0108,5.447574865225493
0.0109,5.601255615248154
0.011000000000000001,5.751283647195249
0.0111,5.8991720020062814
0.0112,6.045876414605936
0.011300000000000001,6.1872475871420525
0.0114,6.326509957830134
0.0115,6.463613806542749
0.011600000000000001,6.598178758250694
0.0117,6.727465197498894
0.0118,6.854829056950307
0.0119,6.979886882547993
0.012,7.100287140166544
0.012100000000000001,7.217963126522282
0.0122,7.3306083748527815
0.0123,7.4384221247035605
0.012400000000000001,7.5462358745543385
0.0125,7.647049409261869
0.0126,7.7457300533308056
0.012700000000000001,7.844054267533588
0.0128,7.9355621462644255
0.0129,8.027070024995258
0.013000000000000001,8.11561321655783
0.0131,8.198215943751473
0.0132,8.280818670945115
0.013300000000000001,8.358874744954807
0.0134,8.43409827049804
0.0135,8.509321796041277
0.013600000000000001,8.577595547544236
0.0137,8.645091696405425
0.013800000000000002,8.710314811279964
0.013900000000000001,8.765362563549603
0.014,8.820410315819235
0.014100000000000001,8.875458068088879
0.0142,8.930505820358515
0.0143,8.985553572628156
0.014400000000000001,9.032492020983039
0.0145,9.07671363665571
0.0146,9.120935252328385
0.014700000000000001,9.165156868001054
0.0148,9.209378483673724
0.0149,9.25056370311043
0.015000000000000001,9.285161270679273
0.0151,9.319758838248104
0.0152,9.354356405816945
0.015300000000000001,9.388953973385778
0.0154,9.42355154095462
0.0155,9.45537200487932
0.015600000000000001,9.485882448935323
0.015700000000000002,9.515395724000042
0.0158,9.543911830073487
0.0159,9.571430767155645
0.016,9.597952535246522
0.0161,9.623477134346123
0.0162,9.648004564454444
0.016300000000000002,9.671534825571479
0.0164,9.69406791769724
0.0165,9.71560430206339
0.0166,9.736176994910615
0.0167,9.755758224279548
0.016800000000000002,9.7743479901702
0.016900000000000002,9.791946292582548
0.017,9.808553131516616
0.0171,9.824168506972391
0.0172,9.83879241894988
0.0173,9.852424867449072
0.017400000000000002,9.865065852469982
0.0175,9.876715374012596
0.0176,9.887589145683295
0.0177,9.89886773301762
0.0178,9.909419930157101
0.0179,9.919245737101736
0.018000000000000002,9.92834515385154
0.0181,9.9367181804065
0.0182,9.944364816766619
0.0183,9.951285062931897
0.0184,9.95747891890233
0.018500000000000003,9.962946384677926
0.018600000000000002,9.96768746025868
0.0187,9.97214815868806
0.0188,9.977208135484778
0.0189,9.981826823557789
0.019,9.986004222907077
0.019100000000000002,9.989740333532648
0.019200000000000002,9.993035155434509
0.0193,9.995888688612647
0.0194,9.998300933067068
0.0195,10.000271888797782
0.0196,10.00180155580477
0.019700000000000002,10.002889934088042
0.0198,10.004064648996843
0.0199,10.005706096716878
0.02,10.007132444473035
0.0201,10.008343692265315
0.020200000000000003,10.009339840093713
0.020300000000000002,10.010120887958243
0.0204,10.010686835858893
0.0205,10.011037683795662
0.0206,10.011173431768556
0.0207,10.011094079777573
0.020800000000000003,10.010799627822715
0.020900000000000002,10.010826229343726
0.021,10.011215624760768
0.0211,10.011561840482981
0.0212,10.01186487651037
0.0213,10.012124732842928
0.021400000000000002,10.01234140948066
0.021500000000000002,10.012514906423567
0.0216,10.012645223671644
0.0217,10.012732361224893
0.0218,10.01277631908332
0.0219,10.01277709724691
0.022000000000000002,10.012734695715677
0.0221,10.012649114489616
0.0222,10.012520353568734
0.0223,10.012348412953019
0.0224,10.012133292642478
0.022500000000000003,10.011874992637104
0.022600000000000002,10.011573512936907
0.0227,10.011228853541883
0.0228,10.010841014452032
0.0229,10.010409995667345
0.023,10.00993579718784
0.023100000000000002,10.009693894670832
0.023200000000000002,10.009511600839165
0.0233,10.009329307007489
0.0234,10.009147013175822
0.0235,10.008964719344153
0.0236,10.008782425512488
