% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"May 19 2025, 17:47"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)","Molar concentration, c (mol/m^3)"
0,9.28047157105193E-18,1.0022812750755148E-18
1.0E-4,1.6116368330553185E-17,8.961405095753628E-20
2.0E-4,8.580433520099396E-17,-1.3674610056662507E-16
3.0000000000000003E-4,1.4198832472260382E-14,-5.998337663188105E-15
4.0E-4,-5.365735239985215E-13,-1.8492327553092343E-12
5.0E-4,-3.7368038150452773E-10,-6.110622870291344E-10
6.000000000000001E-4,1.6248970172789188E-8,-1.0969086117955938E-7
7.0E-4,1.943654191879363E-6,2.6471380273325945E-4
8.0E-4,0.0025828465688994048,0.06457362028227501
9.000000000000001E-4,0.1505661193714209,1.009241482591125
0.001,1.1091667136972505,1.7439135560181425
0.0011,1.5096327695992504,1.1171729803177324
0.0012000000000000001,1.035180529989576,0.7495837956587681
0.0013000000000000002,0.7849803730862143,0.6231643800474302
0.0014,0.688213785070112,0.5579128990846571
0.0015,0.6239914423600335,0.5109795565658954
0.0016,0.5669836491642202,0.47105361235598997
0.0017000000000000001,0.5166585476519474,0.4333727860104043
0.0018000000000000002,0.46884419182759746,0.3981004887075823
0.0019,0.42313962898830737,0.36392323286587863
0.002,0.3796158284330995,0.3297574481776351
0.0021000000000000003,0.3383350729435717,0.2960183629965453
0.0022,0.29910303510830316,0.2630607150412774
0.0023,0.26218606083894586,0.23120851416699853
0.0024000000000000002,0.2279949537831599,0.20092053503456578
0.0025,0.19665243567916887,0.1724468396194704
0.0026000000000000003,0.1682817576859912,0.1458551826178327
0.0027,0.14292201557873416,0.12150855578692503
0.0028,0.12046456481571147,0.10001765498585823
0.0029000000000000002,0.1006507471738179,0.08162646000665567
0.003,0.08326191047133658,0.06598271770084452
0.0031000000000000003,0.06817723013454718,0.0526477875534817
0.0032,0.055226266175426614,0.041430497082333165
0.0033,0.044214042959820406,0.03224444942068571
0.0034000000000000002,0.034961735405299496,0.024872664110903612
0.0035,0.0273398089778863,0.018987193154106453
0.0036000000000000003,0.021162424597761027,0.014293598558634314
0.0037,0.01623532089104364,0.01060837785792027
0.0038,0.012342191508948334,0.0077635217861108455
0.0039000000000000003,0.009313819888257883,0.005616440080010708
0.004,0.006975251956767678,0.004014835594116512
0.0041,0.005170192817260236,0.0028321450417661655
0.004200000000000001,0.003770985150998675,0.0019695429409097628
0.0043,0.0026996277768424294,0.0013475415883057941
0.0044,0.0019037256044974048,9.089963449987254E-4
0.0045000000000000005,0.0013235310010337007,6.034205638277373E-4
0.0046,9.095625617857729E-4,3.950456403721369E-4
0.0047,6.15452599713103E-4,2.5460086493883703E-4
0.0048000000000000004,4.1106264819180683E-4,1.6171128950927152E-4
0.0049,2.7027455986846575E-4,1.0105307491714409E-4
0.005,1.753558594265304E-4,6.205217382001095E-5
0.0051,1.123334301081679E-4,3.7677361979921594E-5
0.005200000000000001,7.10426679417365E-5,2.2470150083400064E-5
0.0053,4.447356846391895E-5,1.327067839399509E-5
0.0054,2.744637199941448E-5,7.721633971111384E-6
0.0055000000000000005,1.6790918817763153E-5,4.444022652359862E-6
0.0056,1.0104736357572758E-5,2.525980087546671E-6
0.0057,6.033230007067188E-6,1.4174062012156577E-6
0.0058000000000000005,3.537595043474243E-6,7.881733837863889E-7
0.0059,2.055084197938436E-6,4.3137350900311613E-7
0.006,1.1766998409305448E-6,2.3535323679008686E-7
0.0061,6.702656565570829E-7,1.2716874070283356E-7
0.006200000000000001,3.750620428084934E-7,6.776530017131952E-8
0.0063,2.0828880623624244E-7,3.578444185063924E-8
0.0064,1.1399669066414547E-7,1.8806482417063827E-8
0.006500000000000001,6.166732553081732E-8,9.848817950196805E-9
0.0066,3.3272729280915703E-8,5.152566427607417E-9
0.0067,1.7844949476929153E-8,2.7592134287098727E-9
0.0068000000000000005,9.514925426273666E-9,1.549974543380847E-9
0.006900000000000001,5.107712094568419E-9,9.139066759657897E-10
0.007,2.815899566281822E-9,5.67920947471777E-10
0.0071,1.6316087802628574E-9,3.6764534542157023E-10
0.007200000000000001,9.928971763431342E-10,2.399757577092336E-10
0.0073,6.439088169185012E-10,1.5613117381041729E-10
0.0074,4.378041530809927E-10,1.0101885823520237E-10
0.007500000000000001,3.0150879807499645E-10,6.506593925112206E-11
0.0076,2.0771211264598148E-10,4.1693312994322504E-11
0.0077,1.4276425723672976E-10,2.6550172910832736E-11
0.0078000000000000005,9.7815369961102E-11,1.6804676861015683E-11
0.0079,6.681571501282847E-11,1.0588251342474034E-11
0.008,4.549204501537942E-11,6.639782390673151E-12
0.0081,3.0870681756526675E-11,4.137736084022619E-12
0.0082,2.086740973275781E-11,2.5656366092390263E-12
0.0083,1.4057936472192696E-11,1.584681385332491E-12
0.008400000000000001,9.443635393001524E-12,9.747390115852515E-13
0.0085,6.3258916146748666E-12,5.958478520935856E-13
0.0086,4.225403865141081E-12,3.628818264833222E-13
0.008700000000000001,2.812190401648201E-12,2.2030817779109316E-13
0.0088,1.866638888291966E-12,1.3328989693902084E-13
0.0089,1.2361428024832695E-12,8.015326802500074E-14
0.009000000000000001,8.166928103342703E-13,4.80913924375706E-14
0.0091,5.382950740075376E-13,2.879899486544217E-14
0.0092,3.536015573918213E-13,1.7219055042268446E-14
0.009300000000000001,2.318246508336753E-13,1.025461776857349E-14
0.0094,1.5171049588473877E-13,6.0981867513063036E-15
0.0095,9.909861740381877E-14,3.609241576433514E-15
0.009600000000000001,6.460827755196368E-14,2.116121512727604E-15
0.0097,4.2000387328690544E-14,1.2257596753913646E-15
0.0098,2.7294537658615328E-14,7.032759314647804E-16
0.0099,1.774207453515984E-14,3.999876113996906E-16
0.01,1.1524833329401285E-14,2.254599769437707E-16
0.010100000000000001,7.468351172792343E-15,1.263735185091434E-16
0.0102,4.8143469850258174E-15,7.074438676800186E-17
0.0103,3.0842896513021837E-15,3.95614748628223E-17
0.010400000000000001,1.960377436492777E-15,2.2029743731679846E-17
0.0105,1.235631665820907E-15,1.2259120242458725E-17
0.0106,7.725227757217924E-16,6.826852445260086E-18
0.010700000000000001,4.798670966458767E-16,3.80088540019987E-18
0.0108,2.9711117696849875E-16,2.1065003754263145E-18
0.0109,1.8361818241209567E-16,1.1682356502025072E-18
0.011000000000000001,1.1335829517022033E-16,6.483573137314949E-19
0.0111,6.986010803844086E-17,3.48570894100885E-19
0.0112,4.301730236963998E-17,1.746615249709833E-19
0.011300000000000001,2.6495849996788264E-17,8.436273202632331E-20
0.0114,1.6320794241028253E-17,3.8594476578438424E-20
0.0115,1.0051834604541271E-17,1.6177690804688664E-20
0.011600000000000001,6.18082342458106E-18,5.565970556304269E-21
0.0117,3.799779295567141E-18,-2.413637416097364E-22
0.0118,2.3368742186924115E-18,-3.483519306504448E-21
0.0119,1.4346458598879082E-18,-3.562478262000525E-21
0.012,8.55813007684571E-19,-3.002728861515135E-21
0.012100000000000001,4.978766291271074E-19,-2.4429794610297334E-21
0.0122,2.8497290221692725E-19,-1.8832300605443424E-21
0.0123,1.6152243934185746E-19,-1.32348066005895E-21
0.012400000000000001,9.086986780717204E-20,-1.1677805585582177E-21
0.0125,5.081041423860556E-20,-1.046841567496357E-21
0.0126,2.691596268583347E-20,-9.25902576434497E-22
0.012700000000000001,9.944546697611301E-21,-8.049635853726342E-22
0.0128,2.9302829556742633E-21,-6.84024594310774E-22
0.0129,2.0638473584510338E-21,-5.630856032489137E-22
0.013000000000000001,1.1974117612277894E-21,-4.421466121870514E-22
0.0131,9.993164967322334E-22,-3.2120762112519096E-22
0.0132,8.120324993873074E-22,-2.002686300633306E-22
